,Dataset,Subject,Group,Condition,MeanDuration_A,MeanDuration_B,MeanDuration_C,MeanDuration_D,MeanDurationAll,MeanOccurrence_A,MeanOccurrence_B,MeanOccurrence_C,MeanOccurrence_D,MeanOccurrenceAll,Coverage_A,Coverage_B,Coverage_C,Coverage_D,MeanGFP_A,MeanGFP_B,MeanGFP_C,MeanGFP_D,OrgTM_A->B,OrgTM_A->C,OrgTM_A->D,OrgTM_B->A,OrgTM_B->C,OrgTM_B->D,OrgTM_C->A,OrgTM_C->B,OrgTM_C->D,OrgTM_D->A,OrgTM_D->B,OrgTM_D->C,psi/ctrl
0,ctrl_sub001_meditation,sub001,non meditator,meditation,0.06307,0.06002,0.05971,0.061131,0.061011,4.2437,4.2159,3.882,4.0489,16.3906,26.7378,25.3171,23.1952,24.7499,8.099,8.0912,7.9846,7.9865,9.1739,7.2202,9.4925,10.5755,7.5388,7.6025,6.7743,9.3226,7.6025,8.5581,7.2202,8.9191,ctrl
1,ctrl_sub002_meditation,sub002,non meditator,meditation,0.055338,0.056369,0.056214,0.053058,0.05527,4.6561,4.5787,4.5153,4.3429,18.0929,25.7647,25.7919,25.3673,23.0761,6.8562,6.819,7.1021,6.9936,8.5119,8.6093,8.5898,9.0962,8.6287,7.5769,8.4145,8.7067,7.8496,8.1808,8.1028,7.7328,ctrl
2,ctrl_sub003_meditation,sub003,non meditator,meditation,0.037644,0.041394,0.035682,0.034101,0.037427,6.2269,7.7003,6.729,6.0627,26.7188,23.4338,31.7199,24.0699,20.7763,4.9393,5.1109,4.9889,4.7371,9.1534,7.3898,6.7901,9.5062,10.8466,8.5009,7.2134,10.6173,7.3369,6.5608,9.0829,7.0018,ctrl
3,ctrl_sub004_meditation,sub004,non meditator,meditation,0.064135,0.065509,0.065973,0.074902,0.067985,3.4818,2.9342,4.1086,4.1844,14.709,22.3688,19.2427,27.1294,31.2591,10.6568,9.9973,10.5685,12.1659,6.0201,8.9248,8.7374,5.5517,7.0274,7.3788,9.3933,6.1841,12.3448,8.7374,7.7301,11.97,ctrl
4,ctrl_sub005_meditation,sub005,non meditator,meditation,0.046112,0.047458,0.060316,0.056652,0.053008,4.2104,4.5546,4.7805,5.3194,18.8649,19.5205,21.7069,28.7072,30.0654,4.9683,4.7711,6.1294,5.4529,6.545,6.8953,8.8864,6.6187,8.0015,9.5317,7.3746,8.1858,9.7714,8.3333,9.4211,10.4351,ctrl
5,ctrl_sub006_meditation,sub006,non meditator,meditation,0.043079,0.042266,0.046407,0.041335,0.043392,5.6675,5.2348,6.4371,5.7065,23.0458,24.4226,22.1511,29.7868,23.6395,4.0906,4.26,4.2211,4.074,6.8689,9.7182,8.0086,7.3156,8.2396,7.1308,9.672,8.6709,9.6103,7.6082,7.1924,9.9646,ctrl
6,ctrl_sub007_meditation,sub007,non meditator,meditation,0.049403,0.047832,0.055941,0.054718,0.052233,4.9392,4.0667,5.4605,4.6785,19.1449,24.4527,19.5182,30.4724,25.5567,4.4217,4.6121,5.0323,5.3674,6.2489,10.663,8.8647,7.2661,8.0836,5.9037,10.0817,8.7738,9.6821,8.465,6.1944,9.7729,ctrl
7,ctrl_sub008_meditation,sub008,non meditator,meditation,0.062306,0.061437,0.050601,0.055038,0.057527,4.6835,4.3544,4.1985,4.1466,17.3831,29.106,26.695,21.3426,22.8564,9.4962,9.094,7.91,8.7829,9.3918,9.1725,8.3749,9.1725,7.3779,8.5145,9.4915,7.657,6.9791,8.2951,7.996,7.5773,ctrl
8,ctrl_sub009_meditation,sub009,non meditator,meditation,0.044706,0.035398,0.035079,0.03879,0.038536,6.3374,6.0408,6.3586,7.213,25.9497,28.1392,21.4768,22.4139,27.9701,5.2349,4.3225,4.3936,4.6051,7.7855,7.4316,9.2146,6.5877,7.4724,9.2146,8.1258,6.9961,9.378,9.691,8.5069,9.5958,ctrl
9,ctrl_sub010_meditation,sub010,non meditator,meditation,0.040197,0.034932,0.035745,0.041866,0.038282,7.2632,6.2086,6.2789,6.3709,26.1217,29.1267,21.7913,22.5232,26.5589,4.0685,4.0149,4.2099,4.9098,8.9278,9.4493,9.4493,9.2199,7.5511,7.0505,9.0113,7.1131,7.8849,9.491,7.7388,7.1131,ctrl
